,Unnamed: 0,last_scraped,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
0,0,2024-12-20,2008-12-03,"Massachusetts, United States",within a day,100%,22%,t,East Boston,2,6,"['email', 'phone']",f,Neighborhood highlights,East Boston,,42.36413,-71.02991,Entire rental unit,Entire home/apt,2,,1.0,,"[""Smoke alarm"", ""Central air conditioning"", ""Coffee maker"", ""Hangers"", ""Stove"", ""Carbon monoxide alarm"", ""Oven"", ""Dryer"", ""Extra pillows and blankets"", ""Essentials"", ""Heating"", ""Cooking basics"", ""Free street parking"", ""Wifi"", ""Microwave"", ""Bed linens"", ""Kitchen"", ""Refrigerator"", ""Hair dryer"", ""TV with standard cable"", ""Free parking on premises"", ""Dishes and silverware"", ""Washer"", ""Patio or balcony"", ""Shampoo"", ""Iron"", ""Dishwasher"", ""Hot water""]",,29,1125,29.0,29.0,1125.0,1125.0,29.0,1125.0,,t,0,0,17,2024-12-20,26,1,0,2015-07-10,2024-08-09,4.96,5.0,5.0,4.96,4.85,4.88
200,200,2024-12-20,2015-03-18,"Boston, MA",within a few hours,100%,100%,t,South Boston,1,4,"['email', 'phone', 'work_email']",t,Neighborhood highlights,South Boston,,42.33286,-71.04506,Entire rental unit,Entire home/apt,3,1.0,0.0,2.0,"[""Smoke alarm"", ""Conditioner"", ""Hangers"", ""Bay view"", ""Beach view"", ""Stove"", ""Body soap"", ""Shower gel"", ""Cleaning products"", ""Carbon monoxide alarm"", ""Freezer"", ""Laundromat nearby"", ""Private backyard \u2013 Fully fenced"", ""Oven"", ""Bathtub"", ""Ocean view"", ""Fire extinguisher"", ""Extra pillows and blankets"", ""Keypad"", ""Essentials"", ""City skyline view"", ""AC - split type ductless system"", ""Coffee maker: Keurig coffee machine"", ""Wine glasses"", ""Heating"", ""Dedicated workspace"", ""Garden view"", ""Cooking basics"", ""Hot water kettle"", ""Outdoor dining area"", ""Dining table"", ""Wifi"", ""Microwave"", ""Coffee"", ""Bed linens"", ""First aid kit"", ""Self check-in"", ""Kitchen"", ""Refrigerator"", ""Hair dryer"", ""Beach access \u2013 Beachfront"", ""TV with standard cable"", ""Dishes and silverware"", ""Waterfront"", ""Outdoor furniture"", ""Shampoo"", ""Clothing storage: closet and dresser"", ""Iron"", ""Private patio or balcony"", ""Baking sheet"", ""Toaster"", ""Hot water"", ""Private entrance""]",$250.00,3,365,3.0,3.0,365.0,365.0,3.0,365.0,,t,21,51,81,2024-12-20,94,19,0,2017-08-28,2024-11-12,4.86,4.88,4.97,4.97,4.89,4.75
400,400,2024-12-20,2014-06-16,"Boston, MA",,,,f,,1,8,"['email', 'phone', 'work_email']",t,,Roslindale,,42.27995,-71.13042,Private room in home,Private room,2,,,,"[""Smoke alarm"", ""Hangers"", ""TV"", ""Carbon monoxide alarm"", ""Dryer"", ""Fire extinguisher"", ""Essentials"", ""Air conditioning"", ""Heating"", ""Free street parking"", ""Wifi"", ""First aid kit"", ""Kitchen"", ""Hair dryer"", ""Free parking on premises"", ""Dishes and silverware"", ""Pets allowed"", ""Washer"", ""Private living room"", ""Shampoo"", ""Iron"", ""Hot water""]",,91,1125,91.0,91.0,1125.0,1125.0,91.0,1125.0,,t,29,59,89,2024-12-20,3,0,0,2018-10-14,2018-10-28,5.0,5.0,5.0,5.0,5.0,5.0
600,600,2024-12-20,2014-07-21,"Boston, MA",within an hour,91%,0%,f,Roxbury,31,34,"['email', 'phone']",t,Neighborhood highlights,Roxbury,,42.31333,-71.09339,Private room in rental unit,Private room,1,1.5,1.0,1.0,"[""Smoke alarm"", ""Heating"", ""Cooking basics"", ""Kitchen"", ""Lock on bedroom door"", ""Hangers"", ""Refrigerator"", ""Dishes and silverware"", ""Stove"", ""Free street parking"", ""Air conditioning"", ""Wifi"", ""Microwave"", ""Oven"", ""Carbon monoxide alarm"", ""Dishwasher"", ""Hot water""]",$39.00,91,1000,91.0,91.0,1000.0,1000.0,91.0,1000.0,,t,30,60,90,2024-12-20,0,0,0,,,,,,,,
800,800,2024-12-20,2009-09-16,,within a day,91%,58%,f,Back Bay,22,29,"['email', 'phone']",t,,Back Bay,,42.34942,-71.08831,Entire condo,Entire home/apt,2,1.0,0.0,1.0,"[""Smoke alarm"", ""Coffee maker"", ""Hangers"", ""Paid washer \u2013 In building"", ""Freezer"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""Essentials"", ""Air conditioning"", ""Long term stays allowed"", ""Paid dryer \u2013 In building"", ""Wine glasses"", ""Heating"", ""Cooking basics"", ""Hot water kettle"", ""Wifi"", ""Microwave"", ""Bed linens"", ""Kitchen"", ""Refrigerator"", ""Hair dryer"", ""TV with standard cable"", ""Dishes and silverware"", ""Shampoo"", ""Iron"", ""Toaster"", ""Dishwasher"", ""Hot water""]",$113.00,91,1125,91.0,91.0,1125.0,1125.0,91.0,1125.0,,t,27,57,87,2024-12-20,0,0,0,,,,,,,,
1000,1000,2024-12-20,2018-10-11,"Boston, MA",within an hour,100%,99%,t,West Roxbury,4,4,"['email', 'phone']",t,,West Roxbury,,42.27184,-71.1511,Private room in home,Private room,1,1.0,4.0,4.0,"[""Smoke alarm"", ""Clothing storage: closet"", ""Coffee maker"", ""Hangers"", ""Free driveway parking on premises"", ""Stove"", ""Freezer"", ""Carbon monoxide alarm"", ""Luggage dropoff allowed"", ""Dryer"", ""Fire extinguisher"", ""Extra pillows and blankets"", ""Keypad"", ""Essentials"", ""Air conditioning"", ""Long term stays allowed"", ""Portable fans"", ""Heating"", ""Dedicated workspace"", ""Hot water kettle"", ""Dining table"", ""Free street parking"", ""Wifi"", ""Microwave"", ""Self check-in"", ""Kitchen"", ""Refrigerator"", ""Hair dryer"", ""Washer"", ""Shampoo"", ""Private patio or balcony"", ""Iron"", ""Backyard"", ""Toaster"", ""Hot water""]",$64.00,1,31,1.0,1.0,1125.0,1125.0,1.0,1125.0,,t,30,60,90,2024-12-20,84,9,2,2018-10-14,2024-12-03,4.77,4.87,4.93,4.92,4.7,4.77
1200,1200,2024-12-20,2017-10-12,"Boston, MA",,,,f,South Boston,1,14,"['email', 'phone']",t,,South Boston Waterfront,,42.35031,-71.04704,Entire rental unit,Entire home/apt,4,,2.0,,"[""Smoke alarm"", ""Heating"", ""Kitchen"", ""Dryer"", ""Hair dryer"", ""Hangers"", ""Elevator"", ""Gym"", ""Essentials"", ""Washer"", ""Air conditioning"", ""TV"", ""Shampoo"", ""Wifi"", ""Iron"", ""Carbon monoxide alarm"", ""Private entrance""]",,91,1125,91.0,91.0,1125.0,1125.0,91.0,1125.0,,,0,0,0,2024-12-20,2,0,0,2019-08-18,2019-08-27,5.0,5.0,5.0,5.0,5.0,4.5
1400,1400,2024-12-20,2014-06-17,"Palm Springs, CA",within an hour,100%,100%,t,Fort Point,2,2,"['email', 'phone']",t,Neighborhood highlights,South Boston Waterfront,,42.34843,-71.04859,Entire condo,Entire home/apt,2,1.0,0.0,1.0,"[""Smoke alarm"", ""Coffee maker"", ""Hangers"", ""Stove"", ""TV"", ""Carbon monoxide alarm"", ""Oven"", ""Dryer"", ""Fire extinguisher"", ""Essentials"", ""Air conditioning"", ""Heating"", ""Exterior security cameras on property"", ""Wifi"", ""Microwave"", ""First aid kit"", ""Kitchen"", ""Refrigerator"", ""Hair dryer"", ""Barbecue utensils"", ""Dishes and silverware"", ""Pets allowed"", ""Washer"", ""BBQ grill"", ""Paid parking off premises"", ""Shampoo"", ""Private patio or balcony"", ""Iron"", ""Baking sheet"", ""Dishwasher"", ""Cooking basics""]",$125.00,57,1125,57.0,57.0,1125.0,1125.0,57.0,1125.0,,t,19,49,79,2024-12-20,4,0,0,2022-05-17,2023-12-17,5.0,5.0,5.0,5.0,5.0,4.75
1600,1600,2024-12-20,2020-07-21,,within an hour,100%,100%,t,Brighton,8,12,"['email', 'phone']",t,,Brighton,,42.34388,-71.15633,Private room in home,Private room,4,1.0,1.0,2.0,"[""Smoke alarm"", ""Hangers"", ""Body soap"", ""Shower gel"", ""TV"", ""Carbon monoxide alarm"", ""Lock on bedroom door"", ""Fire extinguisher"", ""Room-darkening shades"", ""Keypad"", ""Essentials"", ""Mosquito net"", ""Air conditioning"", ""Breakfast"", ""Heating"", ""Dedicated workspace"", ""Free street parking"", ""Wifi"", ""Bed linens"", ""Hot water"", ""First aid kit"", ""Self check-in"", ""Hair dryer"", ""Shampoo"", ""Iron"", ""Conditioner""]",$149.00,1,28,1.0,1.0,1125.0,1125.0,1.0,1125.0,,t,10,27,57,2024-12-20,74,17,0,2021-04-18,2024-11-17,4.93,4.91,4.97,4.93,4.88,4.84
1800,1800,2024-12-20,2017-05-21,"Massachusetts, United States",within an hour,100%,88%,t,Lower Allston,2,8,"['email', 'phone']",t,Neighborhood highlights,Brighton,,42.35929,-71.14198,Private room in rental unit,Private room,1,,,,"[""Smoke alarm"", ""Coffee maker"", ""Hangers"", ""Lockbox"", ""Electric stove"", ""Carbon monoxide alarm"", ""Bathtub"", ""40 inch HDTV with Roku"", ""Lock on bedroom door"", ""Fire extinguisher"", ""Essentials"", ""Air conditioning"", ""Long term stays allowed"", ""Heating"", ""Fast wifi \u2013 53 Mbps"", ""Dedicated workspace"", ""Cooking basics"", ""Bed linens"", ""Self check-in"", ""Free washer \u2013 In building"", ""Kitchen"", ""Refrigerator"", ""Hair dryer"", ""Patio or balcony"", ""Shampoo"", ""Iron"", ""Hot water"", ""Free dryer \u2013 In building""]",,61,270,61.0,61.0,1125.0,1125.0,61.0,1125.0,,t,10,10,10,2024-12-20,5,1,0,2021-11-13,2024-08-24,4.4,4.2,4.8,5.0,4.2,4.0
