,Unnamed: 0,last_scraped,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
1,1,2024-12-20,2009-02-19,"Boston, MA",within an hour,100%,99%,t,Roxbury,11,14,"['email', 'phone']",t,Neighborhood highlights,Roxbury,,42.32844,-71.09581,Entire guest suite,Entire home/apt,2,1.0,1.0,1.0,"[""Smoke alarm"", ""Coffee maker"", ""Hangers"", ""Carbon monoxide alarm"", ""Luggage dropoff allowed"", ""Bathtub"", ""Dryer"", ""Fire extinguisher"", ""Extra pillows and blankets"", ""Keypad"", ""Essentials"", ""Air conditioning"", ""Long term stays allowed"", ""Heating"", ""Free street parking"", ""Wifi"", ""Microwave"", ""First aid kit"", ""Bed linens"", ""Self check-in"", ""Refrigerator"", ""Hair dryer"", ""TV with standard cable"", ""Dishes and silverware"", ""Washer"", ""Shampoo"", ""Iron"", ""Hot water"", ""Private entrance""]",$112.00,3,90,3.0,5.0,1125.0,1125.0,3.0,1125.0,,t,20,50,80,2024-12-20,132,10,0,2009-03-21,2024-10-19,4.81,4.88,4.95,4.89,4.56,4.76
3,3,2024-12-20,2009-07-22,"Boston, MA",within a few hours,100%,49%,t,Beacon Hill,8,32,"['email', 'phone']",t,Neighborhood highlights,Beacon Hill,,42.35867,-71.06307,Entire rental unit,Entire home/apt,2,1.0,1.0,2.0,"[""Smoke alarm"", ""Coffee maker"", ""Hangers"", ""Paid washer \u2013 In building"", ""Electric stove"", ""Cleaning products"", ""Carbon monoxide alarm"", ""Bathtub"", ""Fire extinguisher"", ""Extra pillows and blankets"", ""Essentials"", ""Single level home"", ""Air conditioning"", ""Paid parking garage off premises"", ""Long term stays allowed"", ""Paid dryer \u2013 In building"", ""Wine glasses"", ""Heating"", ""Cooking basics"", ""Dining table"", ""Wifi"", ""Microwave"", ""Bed linens"", ""Kitchen"", ""Refrigerator"", ""Hair dryer"", ""Elevator"", ""TV with standard cable"", ""Dishes and silverware"", ""Patio or balcony"", ""Clothing storage: closet and dresser"", ""Iron"", ""Hot water""]",$125.00,91,365,91.0,91.0,365.0,365.0,91.0,365.0,,t,0,0,0,2024-12-20,29,1,0,2014-08-12,2024-05-15,4.69,4.69,4.93,4.97,4.97,4.59
5,5,2024-12-20,2009-09-16,,within a day,91%,58%,f,Back Bay,22,29,"['email', 'phone']",t,Neighborhood highlights,Back Bay,,42.35061,-71.08787,Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,"[""Smoke alarm"", ""Clothing storage: closet"", ""Coffee maker"", ""Hangers"", ""Housekeeping available every day - available at extra cost"", ""Stove"", ""Body soap"", ""Cleaning products"", ""Carbon monoxide alarm"", ""Freezer"", ""Laundromat nearby"", ""Bathtub"", ""Fire extinguisher"", ""Essentials"", ""Long term stays allowed"", ""Wine glasses"", ""Heating"", ""Cooking basics"", ""Window AC unit"", ""Dining table"", ""Wifi"", ""Microwave"", ""Bed linens"", ""Kitchen"", ""Refrigerator"", ""Hair dryer"", ""TV with standard cable"", ""Dishes and silverware"", ""Iron"", ""Baking sheet"", ""Toaster"", ""Dishwasher"", ""Hot water""]",$100.00,32,1125,32.0,32.0,1125.0,1125.0,32.0,1125.0,,t,0,0,0,2024-12-20,5,0,0,2019-03-17,2023-11-19,5.0,5.0,5.0,5.0,5.0,4.8
7,7,2024-12-20,2010-01-19,"Boston, MA",within a day,100%,97%,f,Dorchester,39,75,"['email', 'phone', 'work_email']",t,Neighborhood highlights,Dorchester,,42.32212,-71.06096,Entire rental unit,Entire home/apt,7,1.0,3.0,3.0,"[""Smoke alarm"", ""Clothing storage"", ""Coffee maker"", ""Hangers"", ""Stove"", ""Carbon monoxide alarm"", ""Oven"", ""Dryer"", ""Fire extinguisher"", ""Essentials"", ""Air conditioning"", ""Heating"", ""Dedicated workspace"", ""Cooking basics"", ""Hot water kettle"", ""Exterior security cameras on property"", ""Free street parking"", ""Wifi"", ""Microwave"", ""Smart lock"", ""Bed linens"", ""Self check-in"", ""Kitchen"", ""Refrigerator"", ""Hair dryer"", ""TV with standard cable"", ""Dishes and silverware"", ""Washer"", ""Shampoo"", ""Iron"", ""Toaster"", ""Dishwasher"", ""Hot water"", ""Private entrance""]",$143.00,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,,t,6,6,6,2024-12-20,52,0,0,2010-05-12,2023-08-19,4.31,4.5,4.56,4.46,4.24,4.48
9,9,2024-12-20,2010-07-20,"Boston, MA",within a few hours,100%,67%,t,Jamaica Plain,1,1,"['email', 'phone', 'work_email']",t,Neighborhood highlights,Jamaica Plain,,42.31347,-71.11082,Private room in home,Private room,2,1.5,1.0,1.0,"[""Smoke alarm"", ""Central air conditioning"", ""Hammock"", ""Hangers"", ""Body soap"", ""Cleaning products"", ""Carbon monoxide alarm"", ""Freezer"", ""Laundromat nearby"", ""Luggage dropoff allowed"", ""Private backyard \u2013 Fully fenced"", ""Oven"", ""Bathtub"", ""Fire extinguisher"", ""Host greets you"", ""Extra pillows and blankets"", ""Essentials"", ""Fast wifi \u2013 103 Mbps"", ""Long term stays allowed"", ""Drying rack for clothing"", ""Wine glasses"", ""Portable fans"", ""Heating"", ""Dedicated workspace"", ""Garden view"", ""Cooking basics"", ""Hot water kettle"", ""Outdoor dining area"", ""Stainless steel gas stove"", ""Books and reading material"", ""Exterior security cameras on property"", ""Dining table"", ""Fire pit"", ""Free street parking"", ""Free dryer \u2013 In unit"", ""Microwave"", ""Bed linens"", ""First aid kit"", ""Free washer \u2013 In unit"", ""Kitchen"", ""Refrigerator"", ""Hair dryer"", ""Indoor fireplace: gas"", ""Dishes and silverware"", ""Barbecue utensils"", ""Coffee maker: french press, pour-over coffee"", ""Outdoor furniture"", ""Shampoo"", ""Clothing storage: closet and dresser"", ""Iron"", ""Record player"", ""Baking sheet"", ""Toaster"", ""Blender"", ""Dishwasher"", ""Private patio or balcony"", ""BBQ grill: charcoal"", ""Hot water"", ""55 inch HDTV with standard cable""]",$100.00,29,120,21.0,29.0,120.0,120.0,28.7,120.0,,t,19,49,79,2024-12-20,102,4,1,2010-08-27,2024-12-11,4.98,4.95,4.97,4.94,4.93,4.93
11,11,2024-12-20,2010-05-05,"Boston, MA",within a few hours,100%,77%,f,Dorchester,8,8,"['email', 'phone', 'work_email']",t,Neighborhood highlights,Dorchester,,42.29871,-71.05954,Private room in home,Private room,2,1.5,3.0,3.0,"[""Smoke alarm"", ""Heating"", ""Kitchen"", ""Hangers"", ""Hair dryer"", ""First aid kit"", ""Extra pillows and blankets"", ""Essentials"", ""Air conditioning"", ""Wifi"", ""Shampoo"", ""Iron"", ""Carbon monoxide alarm"", ""Hot water""]",$67.00,1,365,1.0,1.0,365.0,365.0,1.0,365.0,,t,30,60,90,2024-12-20,334,1,0,2010-09-08,2024-09-02,4.45,4.53,4.72,4.71,4.26,4.51
13,13,2024-12-20,2009-07-22,"Boston, MA",within a few hours,100%,49%,t,Beacon Hill,8,32,"['email', 'phone']",t,Neighborhood highlights,Downtown,,42.35689,-71.06206,Entire condo,Entire home/apt,3,1.0,1.0,2.0,"[""Smoke alarm"", ""Coffee maker"", ""Hangers"", ""Carbon monoxide alarm"", ""Dryer"", ""Fire extinguisher"", ""Essentials"", ""Air conditioning"", ""Long term stays allowed"", ""Heating"", ""Wifi"", ""Microwave"", ""Kitchen"", ""Refrigerator"", ""Hair dryer"", ""Elevator"", ""TV with standard cable"", ""Dishes and silverware"", ""Washer"", ""Paid parking off premises"", ""Iron"", ""Hot water""]",$135.00,91,260,91.0,91.0,260.0,260.0,91.0,260.0,,t,0,0,0,2024-12-20,49,1,0,2012-11-16,2024-05-31,4.84,4.85,4.9,4.94,4.98,4.81
15,15,2024-12-20,2011-03-01,"Boston, MA",,,,f,Charlestown,1,2,"['email', 'phone']",f,,Charlestown,,42.37865,-71.06373,Private room in rental unit,Private room,2,1.0,1.0,1.0,"[""Smoke alarm"", ""Ethernet connection"", ""Coffee maker: drip coffee maker"", ""Hangers"", ""Generic conditioner"", ""TV"", ""Shower gel"", ""Cleaning products"", ""Carbon monoxide alarm"", ""Laundromat nearby"", ""Bathtub"", ""Lock on bedroom door"", ""Fire extinguisher"", ""Extra pillows and blankets"", ""Essentials"", ""Air conditioning"", ""Portable fans"", ""Heating"", ""Dedicated workspace"", ""Books and reading material"", ""Wifi"", ""Microwave"", ""Generic shampoo"", ""Mini fridge"", ""Coffee"", ""Bed linens"", ""First aid kit"", ""Ceiling fan"", ""Kitchen"", ""Hair dryer"", ""Dishes and silverware"", ""Generic body soap"", ""Outdoor furniture"", ""Private patio or balcony"", ""Hot water""]",$140.00,29,730,29.0,29.0,730.0,730.0,29.0,730.0,,t,30,60,90,2024-12-20,71,0,0,2011-09-19,2023-11-04,4.36,4.52,4.41,4.49,4.73,4.39
17,17,2024-12-20,2009-02-19,"Boston, MA",within an hour,100%,99%,t,Roxbury,11,14,"['email', 'phone']",t,Neighborhood highlights,Roxbury,,42.32806,-71.09423,Entire condo,Entire home/apt,6,1.0,2.0,3.0,"[""Smoke alarm"", ""Coffee maker"", ""Hangers"", ""Stove"", ""Carbon monoxide alarm"", ""Luggage dropoff allowed"", ""Oven"", ""Dryer"", ""Fire extinguisher"", ""Extra pillows and blankets"", ""Keypad"", ""Essentials"", ""Air conditioning"", ""Long term stays allowed"", ""Heating"", ""Dedicated workspace"", ""Cooking basics"", ""Exterior security cameras on property"", ""Free street parking"", ""Wifi"", ""Microwave"", ""Bed linens"", ""Self check-in"", ""Kitchen"", ""Refrigerator"", ""Hair dryer"", ""TV with standard cable"", ""Dishes and silverware"", ""Washer"", ""Patio or balcony"", ""Shampoo"", ""Iron"", ""Hot water"", ""Private entrance""]",$164.00,3,365,3.0,5.0,365.0,365.0,3.0,365.0,,t,19,49,79,2024-12-20,290,22,1,2011-08-19,2024-12-02,4.7,4.84,4.89,4.9,4.45,4.66
19,19,2024-12-20,2010-05-05,"Boston, MA",within a few hours,100%,77%,f,Dorchester,8,8,"['email', 'phone', 'work_email']",t,Neighborhood highlights,Dorchester,,42.29871,-71.05954,Entire condo,Entire home/apt,2,2.0,2.0,2.0,"[""Smoke alarm"", ""Coffee maker"", ""Hangers"", ""Stove"", ""Body soap"", ""Shower gel"", ""TV"", ""Shared beach access"", ""Freezer"", ""Carbon monoxide alarm"", ""Luggage dropoff allowed"", ""Laundromat nearby"", ""BBQ grill: charcoal, gas"", ""Dryer"", ""Extra pillows and blankets"", ""Keypad"", ""Essentials"", ""Mosquito net"", ""Air conditioning"", ""Long term stays allowed"", ""Safe"", ""Drying rack for clothing"", ""Heating"", ""Cooking basics"", ""Dining table"", ""Free street parking"", ""Wifi"", ""Microwave"", ""Bed linens"", ""Self check-in"", ""Ceiling fan"", ""Kitchen"", ""Refrigerator"", ""Hair dryer"", ""Dishes and silverware"", ""Washer"", ""Patio or balcony"", ""Shampoo"", ""Backyard"", ""Iron"", ""Dishwasher"", ""Hot water"", ""Private entrance""]",$55.00,1,365,1.0,1.0,365.0,365.0,1.0,365.0,,t,0,0,0,2024-12-20,65,1,0,2011-09-20,2023-12-29,4.5,4.51,4.68,4.57,4.25,4.48
