Unnamed: 0,last_scraped,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
4,2024-12-20,2009-09-16,,within a day,91%,58%,f,Back Bay,22,29,"['email', 'phone']",t,Neighborhood highlights,Back Bay,,42.35173,-71.08685,Entire rental unit,Entire home/apt,3,1.0,0.0,1.0,"[""Smoke alarm"", ""Ethernet connection"", ""Coffee maker"", ""Hangers"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""Essentials"", ""Indoor fireplace"", ""Air conditioning"", ""Long term stays allowed"", ""Heating"", ""Wifi"", ""Microwave"", ""Bed linens"", ""Kitchen"", ""Hair dryer"", ""TV with standard cable"", ""Dishes and silverware"", ""Pets allowed"", ""Shampoo"", ""Iron"", ""Hot water""]",$110.00,91,1125,91.0,91.0,1125.0,1125.0,91.0,1125.0,,t,29,59,89,2024-12-20,9,0,0,2016-01-09,2019-07-22,4.33,4.44,4.56,4.0,5.0,4.67
5,2024-12-20,2009-09-16,,within a day,91%,58%,f,Back Bay,22,29,"['email', 'phone']",t,Neighborhood highlights,Back Bay,,42.35061,-71.08787,Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,"[""Smoke alarm"", ""Clothing storage: closet"", ""Coffee maker"", ""Hangers"", ""Housekeeping available every day - available at extra cost"", ""Stove"", ""Body soap"", ""Cleaning products"", ""Carbon monoxide alarm"", ""Freezer"", ""Laundromat nearby"", ""Bathtub"", ""Fire extinguisher"", ""Essentials"", ""Long term stays allowed"", ""Wine glasses"", ""Heating"", ""Cooking basics"", ""Window AC unit"", ""Dining table"", ""Wifi"", ""Microwave"", ""Bed linens"", ""Kitchen"", ""Refrigerator"", ""Hair dryer"", ""TV with standard cable"", ""Dishes and silverware"", ""Iron"", ""Baking sheet"", ""Toaster"", ""Dishwasher"", ""Hot water""]",$100.00,32,1125,32.0,32.0,1125.0,1125.0,32.0,1125.0,,t,0,0,0,2024-12-20,5,0,0,2019-03-17,2023-11-19,5.0,5.0,5.0,5.0,5.0,4.8
6,2024-12-20,2009-09-16,,within a day,91%,58%,f,Back Bay,22,29,"['email', 'phone']",t,,North End,,42.36377,-71.05206,Entire condo,Entire home/apt,2,,,,"[""Smoke alarm"", ""Coffee maker"", ""Hangers"", ""Lockbox"", ""Freezer"", ""Carbon monoxide alarm"", ""Bathtub"", ""Fire extinguisher"", ""Essentials"", ""Ge stainless steel oven"", ""Long term stays allowed"", ""Wine glasses"", ""Heating"", ""Cooking basics"", ""Hot water kettle"", ""Window AC unit"", ""GE gas stove"", ""Wifi"", ""Microwave"", ""Bed linens"", ""Self check-in"", ""Free washer \u2013 In building"", ""Kitchen"", ""Refrigerator"", ""Hair dryer"", ""TV with standard cable"", ""Dishes and silverware"", ""Pets allowed"", ""Iron"", ""Baking sheet"", ""Toaster"", ""Dishwasher"", ""Hot water"", ""Free dryer \u2013 In building""]",,32,1125,32.0,32.0,1125.0,1125.0,32.0,1125.0,,t,29,59,89,2024-12-20,1,1,0,2024-01-05,2024-01-05,4.0,5.0,2.0,5.0,5.0,4.0
32,2024-12-20,2012-05-30,"Boston, MA",,,,f,Back Bay,1,1,"['email', 'phone']",t,,Bay Village,,42.34914,-71.06781,Entire rental unit,Entire home/apt,2,,1.0,,"[""Heating"", ""Kitchen"", ""Dryer"", ""Washer"", ""Air conditioning"", ""Wifi""]",,180,180,180.0,180.0,180.0,180.0,180.0,180.0,,,0,0,0,2024-12-20,8,0,0,2012-08-01,2013-07-01,5.0,4.75,4.5,4.5,5.0,4.75
58,2024-12-20,2012-03-21,"Boston, MA",,,,f,Back Bay,1,9,"['email', 'phone']",t,Neighborhood highlights,Back Bay,,42.34475,-71.08204,Private room in home,Private room,1,1.0,1.0,1.0,"[""Smoke alarm"", ""Coffee maker"", ""Hangers"", ""Board games"", ""Stove"", ""TV"", ""Carbon monoxide alarm"", ""Luggage dropoff allowed"", ""Park view"", ""Oven"", ""Lock on bedroom door"", ""Dryer"", ""Fire extinguisher"", ""Host greets you"", ""Extra pillows and blankets"", ""Essentials"", ""Air conditioning"", ""Long term stays allowed"", ""City skyline view"", ""Heating"", ""Dedicated workspace"", ""Cooking basics"", ""Exterior security cameras on property"", ""Wifi"", ""Microwave"", ""Bed linens"", ""First aid kit"", ""Kitchen"", ""Refrigerator"", ""Hair dryer"", ""Outdoor playground"", ""Dishes and silverware"", ""Washer"", ""Paid parking off premises"", ""Shampoo"", ""Backyard"", ""Iron"", ""Hot water""]",$214.00,29,365,29.0,29.0,365.0,365.0,29.0,365.0,,t,29,59,89,2024-12-20,117,0,0,2013-06-07,2019-12-06,4.63,4.63,4.82,4.84,4.98,4.6
74,2024-12-20,2013-08-19,"Boston, MA",,,,f,Back Bay,1,2,"['email', 'phone']",t,,Fenway,,42.34175,-71.08359,Entire rental unit,Entire home/apt,4,2.0,2.0,2.0,"[""Smoke alarm"", ""Heating"", ""Kitchen"", ""Dryer"", ""Fire extinguisher"", ""Elevator"", ""TV with standard cable"", ""Washer"", ""Air conditioning"", ""Wifi"", ""Carbon monoxide alarm""]",$415.00,91,365,91.0,91.0,365.0,365.0,91.0,365.0,,t,29,59,89,2024-12-20,40,0,0,2013-09-17,2016-10-21,4.85,4.93,4.88,4.88,5.0,4.73
75,2024-12-20,2011-04-03,"Boston, MA",,,100%,t,Back Bay,1,4,"['email', 'phone']",t,Neighborhood highlights,Bay Village,,42.34988,-71.06918,Entire townhouse,Entire home/apt,9,,3.0,,"[""Smoke alarm"", ""Central air conditioning"", ""Coffee maker"", ""Hangers"", ""Stove"", ""42 inch HDTV with Amazon Prime Video, Disney+, HBO Max, Netflix, premium cable, standard cable"", ""Carbon monoxide alarm"", ""Luggage dropoff allowed"", ""Oven"", ""Bathtub"", ""Outlet covers"", ""Fire extinguisher"", ""Extra pillows and blankets"", ""Room-darkening shades"", ""Children\u2019s books and toys"", ""Essentials"", ""Pack \u2019n play/Travel crib"", ""High chair"", ""Long term stays allowed"", ""Breakfast"", ""Heating"", ""Dedicated workspace"", ""Baby bath"", ""Cooking basics"", ""Baby safety gates"", ""Crib"", ""Free street parking"", ""Free dryer \u2013 In unit"", ""Wifi"", ""Microwave"", ""Smart lock"", ""Bed linens"", ""First aid kit"", ""Self check-in"", ""Free washer \u2013 In unit"", ""Cleaning available during stay"", ""Kitchen"", ""Refrigerator"", ""Hair dryer"", ""Dishes and silverware"", ""Pets allowed"", ""BBQ grill"", ""Outdoor furniture"", ""Shampoo"", ""Private patio or balcony"", ""Iron"", ""Paid parking off premises"", ""Dishwasher"", ""Hot water"", ""Private entrance""]",,29,1124,29.0,29.0,1125.0,1125.0,29.0,1125.0,,t,0,0,0,2024-12-20,172,4,0,2016-07-30,2024-02-13,4.98,4.99,4.94,4.98,4.96,4.86
93,2024-12-20,2013-12-21,"Boston, MA",,,,f,Back Bay,1,1,"['email', 'phone']",f,,Back Bay,,42.3504,-71.08891,Entire rental unit,Entire home/apt,2,,,,"[""Smoke alarm"", ""Heating"", ""Kitchen"", ""Dryer"", ""TV with standard cable"", ""Essentials"", ""Washer"", ""Wifi""]",,91,1125,91.0,91.0,1125.0,1125.0,91.0,1125.0,,t,0,0,0,2024-12-20,32,0,0,2013-12-31,2016-08-14,4.31,4.59,4.84,5.0,4.97,4.47
98,2024-12-20,2013-10-13,"Boston, MA",within an hour,100%,100%,,Back Bay,20,53,"['email', 'phone']",f,Neighborhood highlights,Back Bay,,42.34877,-71.08418,Entire rental unit,Entire home/apt,5,2.0,2.0,2.0,"[""Smoke alarm"", ""Clothing storage: closet"", ""Ethernet connection"", ""Conditioner"", ""Central air conditioning"", ""Hangers"", ""Stove"", ""Paid washer \u2013 In building"", ""Body soap"", ""Shower gel"", ""Lockbox"", ""Cleaning products"", ""Carbon monoxide alarm"", ""Freezer"", ""Pocket wifi"", ""Luggage dropoff allowed"", ""Oven"", ""Fire extinguisher"", ""Extra pillows and blankets"", ""Room-darkening shades"", ""Essentials"", ""Pack \u2019n play/Travel crib - always at the listing"", ""Long term stays allowed"", ""Coffee maker: Keurig coffee machine"", ""Paid dryer \u2013 In building"", ""Wine glasses"", ""Dedicated workspace"", ""Cooking basics"", ""Hot water kettle"", ""Exterior security cameras on property"", ""Dining table"", ""Wifi"", ""Microwave"", ""Coffee"", ""Bed linens"", ""Self check-in"", ""Kitchen"", ""Central heating"", ""Hair dryer"", ""Refrigerator"", ""Dishes and silverware"", ""Paid parking off premises"", ""Shampoo"", ""Iron"", ""Baking sheet"", ""Toaster"", ""Dishwasher"", ""Hot water"", ""55 inch HDTV with standard cable""]",$400.00,10,365,4.0,10.0,1125.0,1125.0,8.9,1125.0,,t,23,53,78,2024-12-20,204,21,1,2014-04-03,2024-11-30,4.97,4.98,4.98,5.0,4.98,4.76
107,2024-12-20,2014-04-02,"Cambridge, MA",,,,f,Back Bay,1,2,"['email', 'phone']",t,Neighborhood highlights,Back Bay,,42.34492,-71.08482,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,"[""Smoke alarm"", ""Gym"", ""Stove"", ""Carbon monoxide alarm"", ""Oven"", ""Dryer"", ""Essentials"", ""Air conditioning"", ""Heating"", ""Free street parking"", ""Wifi"", ""Microwave"", ""Hot water"", ""Kitchen"", ""Refrigerator"", ""Elevator"", ""TV with standard cable"", ""Free parking on premises"", ""Dishes and silverware"", ""Washer"", ""Shampoo"", ""Dishwasher"", ""Cooking basics""]",$280.00,29,1125,29.0,29.0,1125.0,1125.0,29.0,1125.0,,t,30,60,90,2024-12-20,74,0,0,2014-09-01,2022-07-06,4.61,4.74,4.75,4.82,4.86,4.63
