,Unnamed: 0,last_scraped,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
0,0,2024-12-20,2008-12-03,"Massachusetts, United States",within a day,100%,22%,t,East Boston,2,6,"['email', 'phone']",f,Neighborhood highlights,East Boston,,42.36413,-71.02991,Entire rental unit,Entire home/apt,2,,1.0,,"[""Smoke alarm"", ""Central air conditioning"", ""Coffee maker"", ""Hangers"", ""Stove"", ""Carbon monoxide alarm"", ""Oven"", ""Dryer"", ""Extra pillows and blankets"", ""Essentials"", ""Heating"", ""Cooking basics"", ""Free street parking"", ""Wifi"", ""Microwave"", ""Bed linens"", ""Kitchen"", ""Refrigerator"", ""Hair dryer"", ""TV with standard cable"", ""Free parking on premises"", ""Dishes and silverware"", ""Washer"", ""Patio or balcony"", ""Shampoo"", ""Iron"", ""Dishwasher"", ""Hot water""]",,29,1125,29.0,29.0,1125.0,1125.0,29.0,1125.0,,t,0,0,17,2024-12-20,26,1,0,2015-07-10,2024-08-09,4.96,5.0,5.0,4.96,4.85,4.88
1,1,2024-12-20,2009-02-19,"Boston, MA",within an hour,100%,99%,t,Roxbury,11,14,"['email', 'phone']",t,Neighborhood highlights,Roxbury,,42.32844,-71.09581,Entire guest suite,Entire home/apt,2,1.0,1.0,1.0,"[""Smoke alarm"", ""Coffee maker"", ""Hangers"", ""Carbon monoxide alarm"", ""Luggage dropoff allowed"", ""Bathtub"", ""Dryer"", ""Fire extinguisher"", ""Extra pillows and blankets"", ""Keypad"", ""Essentials"", ""Air conditioning"", ""Long term stays allowed"", ""Heating"", ""Free street parking"", ""Wifi"", ""Microwave"", ""First aid kit"", ""Bed linens"", ""Self check-in"", ""Refrigerator"", ""Hair dryer"", ""TV with standard cable"", ""Dishes and silverware"", ""Washer"", ""Shampoo"", ""Iron"", ""Hot water"", ""Private entrance""]",$112.00,3,90,3.0,5.0,1125.0,1125.0,3.0,1125.0,,t,20,50,80,2024-12-20,132,10,0,2009-03-21,2024-10-19,4.81,4.88,4.95,4.89,4.56,4.76
2,2,2024-12-20,2009-02-19,"Boston, MA",within an hour,100%,99%,t,Roxbury,11,14,"['email', 'phone']",t,Neighborhood highlights,Roxbury,,42.32802,-71.09387,Entire condo,Entire home/apt,4,1.0,0.0,2.0,"[""Smoke alarm"", ""Coffee maker"", ""Hangers"", ""Stove"", ""Carbon monoxide alarm"", ""Luggage dropoff allowed"", ""Oven"", ""Dryer"", ""Fire extinguisher"", ""Keypad"", ""Essentials"", ""Air conditioning"", ""Long term stays allowed"", ""Heating"", ""Free street parking"", ""Wifi"", ""Microwave"", ""Self check-in"", ""Hot water"", ""Kitchen"", ""Refrigerator"", ""Hair dryer"", ""TV with standard cable"", ""Dishes and silverware"", ""Washer"", ""Shampoo"", ""Iron"", ""Dishwasher"", ""Cooking basics""]",$122.00,3,730,3.0,5.0,730.0,730.0,3.0,730.0,,t,22,52,82,2024-12-20,135,8,0,2009-08-06,2024-11-11,4.81,4.83,4.91,4.95,4.53,4.72
3,3,2024-12-20,2009-07-22,"Boston, MA",within a few hours,100%,49%,t,Beacon Hill,8,32,"['email', 'phone']",t,Neighborhood highlights,Beacon Hill,,42.35867,-71.06307,Entire rental unit,Entire home/apt,2,1.0,1.0,2.0,"[""Smoke alarm"", ""Coffee maker"", ""Hangers"", ""Paid washer \u2013 In building"", ""Electric stove"", ""Cleaning products"", ""Carbon monoxide alarm"", ""Bathtub"", ""Fire extinguisher"", ""Extra pillows and blankets"", ""Essentials"", ""Single level home"", ""Air conditioning"", ""Paid parking garage off premises"", ""Long term stays allowed"", ""Paid dryer \u2013 In building"", ""Wine glasses"", ""Heating"", ""Cooking basics"", ""Dining table"", ""Wifi"", ""Microwave"", ""Bed linens"", ""Kitchen"", ""Refrigerator"", ""Hair dryer"", ""Elevator"", ""TV with standard cable"", ""Dishes and silverware"", ""Patio or balcony"", ""Clothing storage: closet and dresser"", ""Iron"", ""Hot water""]",$125.00,91,365,91.0,91.0,365.0,365.0,91.0,365.0,,t,0,0,0,2024-12-20,29,1,0,2014-08-12,2024-05-15,4.69,4.69,4.93,4.97,4.97,4.59
9,9,2024-12-20,2010-07-20,"Boston, MA",within a few hours,100%,67%,t,Jamaica Plain,1,1,"['email', 'phone', 'work_email']",t,Neighborhood highlights,Jamaica Plain,,42.31347,-71.11082,Private room in home,Private room,2,1.5,1.0,1.0,"[""Smoke alarm"", ""Central air conditioning"", ""Hammock"", ""Hangers"", ""Body soap"", ""Cleaning products"", ""Carbon monoxide alarm"", ""Freezer"", ""Laundromat nearby"", ""Luggage dropoff allowed"", ""Private backyard \u2013 Fully fenced"", ""Oven"", ""Bathtub"", ""Fire extinguisher"", ""Host greets you"", ""Extra pillows and blankets"", ""Essentials"", ""Fast wifi \u2013 103 Mbps"", ""Long term stays allowed"", ""Drying rack for clothing"", ""Wine glasses"", ""Portable fans"", ""Heating"", ""Dedicated workspace"", ""Garden view"", ""Cooking basics"", ""Hot water kettle"", ""Outdoor dining area"", ""Stainless steel gas stove"", ""Books and reading material"", ""Exterior security cameras on property"", ""Dining table"", ""Fire pit"", ""Free street parking"", ""Free dryer \u2013 In unit"", ""Microwave"", ""Bed linens"", ""First aid kit"", ""Free washer \u2013 In unit"", ""Kitchen"", ""Refrigerator"", ""Hair dryer"", ""Indoor fireplace: gas"", ""Dishes and silverware"", ""Barbecue utensils"", ""Coffee maker: french press, pour-over coffee"", ""Outdoor furniture"", ""Shampoo"", ""Clothing storage: closet and dresser"", ""Iron"", ""Record player"", ""Baking sheet"", ""Toaster"", ""Blender"", ""Dishwasher"", ""Private patio or balcony"", ""BBQ grill: charcoal"", ""Hot water"", ""55 inch HDTV with standard cable""]",$100.00,29,120,21.0,29.0,120.0,120.0,28.7,120.0,,t,19,49,79,2024-12-20,102,4,1,2010-08-27,2024-12-11,4.98,4.95,4.97,4.94,4.93,4.93
10,10,2024-12-20,2010-08-18,"Boston, MA",within an hour,100%,100%,t,Charlestown,1,3,"['email', 'phone']",t,Neighborhood highlights,Charlestown,,42.37424,-71.06081,Entire rental unit,Entire home/apt,3,1.0,1.0,1.0,"[""Smoke alarm"", ""Courtyard view"", ""Coffee maker"", ""Hangers"", ""Gas stove"", ""10 inch HDTV"", ""Lockbox"", ""Shower gel"", ""Outdoor shower"", ""Cleaning products"", ""Carbon monoxide alarm"", ""Freezer"", ""Laundromat nearby"", ""Private backyard \u2013 Fully fenced"", ""Park view"", ""Bathtub"", ""Fire extinguisher"", ""Extra pillows and blankets"", ""Beach essentials"", ""Essentials"", ""Resort access"", ""City skyline view"", ""All conditioner"", ""Safe"", ""Wine glasses"", ""Heating"", ""Dedicated workspace"", ""Garden view"", ""Cooking basics"", ""Hot water kettle"", ""Window AC unit"", ""Outdoor dining area"", ""Dining table"", ""Bidet"", ""Shared patio or balcony"", ""Wifi"", ""Microwave"", ""Coffee"", ""Exercise equipment"", ""Bed linens"", ""Self check-in"", ""All body soap"", ""Free washer \u2013 In building"", ""Private entrance"", ""Kitchen"", ""Stainless steel oven"", ""Refrigerator"", ""Hair dryer"", ""Trash compactor"", ""Beach access \u2013 Beachfront"", ""Barbecue utensils"", ""Dishes and silverware"", ""Waterfront"", ""BBQ grill"", ""Outdoor furniture"", ""Shampoo"", ""Iron"", ""Baking sheet"", ""Toaster"", ""Dishwasher"", ""Hot water"", ""Free dryer \u2013 In building""]",$100.00,29,1125,29.0,29.0,1125.0,1125.0,29.0,1125.0,,t,30,60,90,2024-12-20,141,4,0,2010-08-23,2024-11-14,4.66,4.68,4.75,4.71,4.83,4.53
12,12,2024-12-20,2010-10-06,"Boston, MA",within an hour,100%,68%,t,Roxbury,5,6,"['email', 'phone']",t,Neighborhood highlights,Roxbury,,42.32546,-71.08894,Private room in rental unit,Private room,1,1.0,1.0,1.0,"[""Smoke alarm"", ""Coffee maker"", ""Hangers"", ""Carbon monoxide alarm"", ""Lock on bedroom door"", ""Fire extinguisher"", ""Host greets you"", ""Extra pillows and blankets"", ""Essentials"", ""Heating"", ""Dedicated workspace"", ""Shared backyard \u2013 Not fully fenced"", ""Free street parking"", ""Wifi"", ""First aid kit"", ""Bed linens"", ""Kitchen"", ""Refrigerator"", ""Hair dryer"", ""Dishes and silverware"", ""Smoking allowed"", ""Outdoor furniture"", ""Shampoo"", ""Iron"", ""Hot water""]",$80.00,29,120,29.0,29.0,120.0,120.0,29.0,120.0,,t,29,42,42,2024-12-20,145,1,0,2011-01-01,2024-02-29,4.73,4.65,4.87,4.91,4.16,4.63
13,13,2024-12-20,2009-07-22,"Boston, MA",within a few hours,100%,49%,t,Beacon Hill,8,32,"['email', 'phone']",t,Neighborhood highlights,Downtown,,42.35689,-71.06206,Entire condo,Entire home/apt,3,1.0,1.0,2.0,"[""Smoke alarm"", ""Coffee maker"", ""Hangers"", ""Carbon monoxide alarm"", ""Dryer"", ""Fire extinguisher"", ""Essentials"", ""Air conditioning"", ""Long term stays allowed"", ""Heating"", ""Wifi"", ""Microwave"", ""Kitchen"", ""Refrigerator"", ""Hair dryer"", ""Elevator"", ""TV with standard cable"", ""Dishes and silverware"", ""Washer"", ""Paid parking off premises"", ""Iron"", ""Hot water""]",$135.00,91,260,91.0,91.0,260.0,260.0,91.0,260.0,,t,0,0,0,2024-12-20,49,1,0,2012-11-16,2024-05-31,4.84,4.85,4.9,4.94,4.98,4.81
14,14,2024-12-20,2010-10-06,"Boston, MA",within an hour,100%,68%,t,Roxbury,5,6,"['email', 'phone']",t,Neighborhood highlights,Roxbury,,42.32546,-71.08894,Entire rental unit,Entire home/apt,3,1.0,2.0,2.0,"[""Smoke alarm"", ""Carbon monoxide alarm"", ""Dryer"", ""Fire extinguisher"", ""Host greets you"", ""Extra pillows and blankets"", ""Essentials"", ""Heating"", ""Dedicated workspace"", ""Free street parking"", ""Shared patio or balcony"", ""Wifi"", ""First aid kit"", ""Bed linens"", ""Hot water"", ""Refrigerator"", ""Hair dryer"", ""Dishes and silverware"", ""Washer"", ""Outdoor furniture"", ""Backyard"", ""Iron"", ""Cooking basics""]",$100.00,29,180,29.0,29.0,180.0,180.0,29.0,180.0,,t,23,53,83,2024-12-20,118,0,0,2011-05-23,2019-11-15,4.75,4.78,4.88,4.96,4.22,4.66
17,17,2024-12-20,2009-02-19,"Boston, MA",within an hour,100%,99%,t,Roxbury,11,14,"['email', 'phone']",t,Neighborhood highlights,Roxbury,,42.32806,-71.09423,Entire condo,Entire home/apt,6,1.0,2.0,3.0,"[""Smoke alarm"", ""Coffee maker"", ""Hangers"", ""Stove"", ""Carbon monoxide alarm"", ""Luggage dropoff allowed"", ""Oven"", ""Dryer"", ""Fire extinguisher"", ""Extra pillows and blankets"", ""Keypad"", ""Essentials"", ""Air conditioning"", ""Long term stays allowed"", ""Heating"", ""Dedicated workspace"", ""Cooking basics"", ""Exterior security cameras on property"", ""Free street parking"", ""Wifi"", ""Microwave"", ""Bed linens"", ""Self check-in"", ""Kitchen"", ""Refrigerator"", ""Hair dryer"", ""TV with standard cable"", ""Dishes and silverware"", ""Washer"", ""Patio or balcony"", ""Shampoo"", ""Iron"", ""Hot water"", ""Private entrance""]",$164.00,3,365,3.0,5.0,365.0,365.0,3.0,365.0,,t,19,49,79,2024-12-20,290,22,1,2011-08-19,2024-12-02,4.7,4.84,4.89,4.9,4.45,4.66
